NHGISCODE|GJOIN1970|GJOIN1980|GJOIN1990|GJOIN2000|GJOIN2012|STATE|COUNTY|TRACTA|Total_1970|Total_1980|Total_1990|Total_2000|Total_2010|High_Attainment_1970|High_Attainment_1980|High_Attainment_1990|High_Attainment_2000|High_Attainment_2010
G1700190010700|G17001900107|G17001900107|G17001900107|G1700190010700|G1700190010700|Illinois|Champaign County|10700|2471.0|3289.0|3569.0|4393.0|5090.0|0.06232294617563739|0.13621161447248403|0.15074250490333427|0.2592761211017528|0.3092337917485265
G1700190010800|G17001900108|G17001900108|G17001900108|G1700190010800|G1700190010800|Illinois|Champaign County|10800|2610.0|0.0|2920.0|2938.0|3157.0|0.07969348659003832||0.13082191780821917|0.19196732471068753|0.21095977193538168
G1700190010900|G17001900109|G17001900109|G17001900109|G1700190010900|G1700190010900|Illinois|Champaign County|10900|3550.0|4226.0|4718.0|5123.0|6096.0|0.0904225352112676|0.12233790818741126|0.1549385332768122|0.20710521178996683|0.28198818897637795
G1700190011000|||||G1700190011000|Illinois|Champaign County|11000|0.0|0.0|0.0|0.0|2745.0|||||0.5701275045537341
G1700190011100|||||G1700190011100|Illinois|Champaign County|11100|0.0|0.0|0.0|0.0|1023.0|||||0.7702834799608993
G1700210958100|||G17002109581|G1700210958100|G1700210958100|Illinois|Christian County|958100|0.0|0.0|2052.0|2110.0|2002.0|||0.08576998050682261|0.1037914691943128|0.12237762237762238
G1700210958200|||G17002109582|G1700210958200|G1700210958200|Illinois|Christian County|958200|0.0|0.0|2333.0|2465.0|2619.0|||0.05443634804972139|0.06450304259634888|0.11798396334478808
G1700210958300|||G17002109583|G1700210958300|G1700210958300|Illinois|Christian County|958300|0.0|0.0|3229.0|3244.0|2954.0|||0.11706410653453081|0.124845869297164|0.10934326337169939
G1700210958400|||G17002109584|G1700210958400|G1700210958400|Illinois|Christian County|958400|0.0|0.0|2633.0|2647.0|2784.0|||0.11203949867071782|0.1511144692104269|0.14080459770114942
G1700210958500|||G17002109585|G1700210958500|G1700210958500|Illinois|Christian County|958500|0.0|0.0|1701.0|1720.0|1976.0|||0.08818342151675485|0.08023255813953488|0.14625506072874495
G1700210958600|||G17002109586|G1700210958600|G1700210958600|Illinois|Christian County|958600|0.0|0.0|1596.0|1586.0|1493.0|||0.09649122807017543|0.17969735182849936|0.19356999330207636
G1700210958700|||G17002109587|G1700210958700|G1700210958700|Illinois|Christian County|958700|0.0|0.0|2432.0|3438.0|3354.0|||0.10773026315789473|0.08318789994182664|0.0885509838998211
G1700210958800|||G17002109588|G1700210958800|G1700210958800|Illinois|Christian County|958800|0.0|0.0|1979.0|2070.0|1883.0|||0.07781707933299646|0.10338164251207729|0.09293680297397769
G1700210958900|||G17002109589|G1700210958900|G1700210958900|Illinois|Christian County|958900|0.0|0.0|2052.0|1831.0|1703.0|||0.05214424951267056|0.03659202621518296|0.07985907222548444
G1700210959000|||G17002109590|G1700210959000|G1700210959000|Illinois|Christian County|959000|0.0|0.0|2938.0|3091.0|3421.0|||0.11640571817562968|0.12293756065998059|0.20140309850920785
G1700210990100||G17002109901||||Illinois|Christian County|990100|0.0|0.0|0.0|0.0|0.0|||||
G1700210990200||G17002109902||||Illinois|Christian County|990200|0.0|2630.0|0.0|0.0|0.0||0.09505703422053231|||
G1700210990300||G17002109903||||Illinois|Christian County|990300|0.0|2593.0|0.0|0.0|0.0||0.1041264944080216|||
G1700210990400||G17002109904||||Illinois|Christian County|990400|0.0|1747.0|0.0|0.0|0.0||0.03606182026330853|||
G1700210990500||G17002109905||||Illinois|Christian County|990500|0.0|2033.0|0.0|0.0|0.0||0.09198229217904574|||
G1700210999999||G1700210999999||||Illinois|Christian County|999999|0.0|982.0|0.0|0.0|0.0||0.04989816700610998|||
G1700230060100|G17002300601|G17002300601|G17002300601|G1700230060100|G1700230060100|Illinois|Clark County|60100|2599.0|2965.0|2984.0|3348.0|3539.0|0.02193151212004617|0.052951096121416526|0.09651474530831099|0.1341099163679809|0.18423283413393615
